title,genres,rate,picture,rate,summary,country,評論1,評論2,評論3,評論4,評論5
暫告安全 ,動作、驚悚、犯罪,6.4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1395328327.jpg,04/27/2012,萊特（傑森·斯坦森 Jason Statham 飾）是一個不守規矩、只認死理的前紐約警察。一天，他在地鐵站裡看到一群持械的黑幫成員在圍剿一個12歲的華裔女孩梅（凱瑟琳·陳 Catherine Chan 飾）。他心裡的正義感油然而生，遂出手教育了這群黑幫，並把小女孩保護了起來。緊接著，香港的三合會成員、俄羅斯混混以及政客派來的殺手和警局裡的惡棍源源不斷地找上門來。無奈之下，萊特只得帶著梅在紐約的版圖上開始了東躲西藏的亡命生涯。原來，梅有著過目不忘的本領，她記下來了一連串的數字，而這些數字經過解密後是一個密碼。知道了事件原委的萊特決定幫助梅度過難關。但是，的又等待他們是一場怎樣的戰鬥呢？,美國,劇情陳舊，中國小女孩選個大眼睛雙眼皮的會死麼？Jason didn't take his shirt off n I wasn't really happy about it.,"傑禿有感情戲了！還是哭戲！但是！請你放開那個“蘿莉”！她不該屬於你！（這娃路子太野了我小時候比她好看至少10倍 =""= ）",傑森斯坦森,呵呵，沒有說的那麼爛！ 三星半還是有的，動作戲一步到位，不拖沓！劇情就不要要求那麼多了，至少一氣呵成，不錯！,還可以吧，就是這漢語說的太離譜了，我都看英文字幕去了，就不敢找個靠譜點兒的配音嗎？
加勒比海盜 ,動作、奇幻、冒險,8.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg,11/21/2003,"故事發生在17世紀，傳說中海盜最為活躍的加勒比海。風趣迷人的傑克·斯伯洛（約翰尼·德普 Johnny Depp 飾），是活躍在加勒比海上的海盜，擁有屬於自己的“黑珍珠”號海盜船。對他來說，最愜意的生活就是駕駛著“黑珍珠”號在加勒比海上游蕩，自由自在的打劫過往船隻。但不幸的是，他的仇敵，老謀深算的巴爾巴羅薩船長(傑弗裡·拉什 Geoffrey Rush 飾)偷走了他的“黑珍珠”號。巴伯薩是一個無惡不作的壞蛋，他搶劫了傑克的""黑珍珠號""後，更加猖狂，在加勒比海上橫行霸道，一時成為整個加勒比海的霸主。
                                        
                                    　　一次，巴伯薩一夥襲擊了羅亞爾港小鎮，還綁架了總督的女兒伊莉莎白·斯萬(凱拉·奈特莉 Keira Knightley 飾)和伊莉莎白青梅竹馬的鐵匠學徒威爾·特納（奧蘭多·布魯姆 Orlando Bloom 飾），想方設法救出了獄中的船長傑克，偷來英國皇家艦隊最...",美國,johnny太性感了！！！！！！！！,講個小故事吧，有個小女孩給JohnnyDepp寫信，希望他帶著他的部下去學校剷除校長，於是JohnnyDepp打電話給學校，讓學校把學生帶到禮堂，這時候JohnnyDepp帶著演員麼衝上舞臺，全場歡呼。嗯，我愛如此感人的故事,加勒比海盜這一系列我都特別喜歡，喜歡傑克幽默風趣，頑強，堅韌勇敢，像永遠也打不死的小強，還有他的黑珍珠海盜船，太神奇了！,船長登陸那一段，有點創意。,放蕩不羈的傑克船長，以海為家，以船為馬的海盜們，那是屬於你們的航海時代，升起骷髏旗，去遠航吧！
木乃伊歸來 ,動作、奇幻、冒險,7.6,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p847064824.jpg,05/04/2001,"公元前3067年，魔蠍大帝（“岩石”洛克Dwayne Johnson 飾）率領大軍企圖征服世界，但他的野心在長達七年的戰役中遭到挫敗，他的殘兵敗部進入神聖的阿姆謝沙漠，嚴酷的環境使得曾經驍勇的戰士們接連倒斃，瀕臨死亡的魔蠍大帝向死神阿努比斯獻出靈魂，以求打敗他的敵人。在此之後，魔蠍大帝及來自地獄的死神軍團所向披靡，大獲全勝的死神軍團也重新沉睡地下。
                                    
                                　　1933年埃及，瑞克·奧克康納（布蘭登•弗雷澤 Brendan Fraser 飾）和艾弗琳（瑞切爾•薇茨Rachel Weisz 飾）帶著他們的兒子艾裡克斯（弗萊迪•布斯Freddie Boath 飾）重返此地，並發現了魔蠍大帝的手鐲。與此同時，另一夥神秘組織找到邪惡法老伊莫特的屍體，他們需要那隻手鐲復活伊莫特。針對手鐲的正邪爭奪戰旋即展開，瑞克夫婦不得不面對新一輪的奇幻大冒險……",美國,阿努比斯的軍隊簡直是一群自走沙包，有什麼好搶的？電影最後為了抬高男女主角而刻意去拆了伊莫頓&安蘇娜這對CP，那個寧死不屈的安蘇娜這會兒卻蹩腳地轉變為貪生怕死的性格，這段浪漫的千年戀以這種形式結尾實在是敗筆。,女主的前世居然是法老的女兒，安蘇娜棄大祭司而不顧三千年前可是為愛自殺的，感覺編劇的腦回路與第一部完全不在一個水準上。好的地方在於沿襲了第一部的神秘魔幻色彩，通篇看下來依舊驚險刺激，酣暢淋漓；不足之處就是劇本打磨的不夠紮實，角色的情感轉變略突兀。,安蘇娜最後拋棄伊莫頓跑了，太不合理了，幾千年前她可是為愛自殺的啊……,結局就是渣！安蘇娜都3000年前就為伊莫頓死過一次了，3000年後會跑？尼瑪那可是3000年的愛好嗎！編劇的腦子被聖甲蟲吃了。倒是女主，3000年前還愛著伊莫頓，我只能理解3000年後她是帶著老公到前男友這兒示威來了。o(╯□╰)o,喜歡那個男主角，那個壞的，巨帥。
阿麗塔：戰鬥天使 ,動作、科幻、冒險,7.5,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2535922184.jpg,02/22/2019,"故事發生在遙遠的26世紀，外科醫生依德（克里斯托弗·瓦爾茲 Christoph Waltz 飾）在垃圾場裡撿到了只剩下頭部的機械少女將她帶回家中，給她裝上了本來為自己已故的女兒所準備的義體，並取名阿麗塔（羅莎·薩拉扎爾 Rosa Salazar 飾）。甦醒後的阿麗塔對這個五彩斑斕但卻暴力而又殘酷的世界產生了濃厚的興趣，在結識了青年雨果（基恩·約翰遜 Keean Johnson 飾）後，阿麗塔開始接觸名為機動球的運動，並在比賽中展現出了驚人的格鬥天賦。
                                        
                                    　　在廢鐵城居民們的頭頂，漂浮著巨大的浮空城市撒冷，廢鐵城居民們的一切勞作和付出，都是為了給撒冷提供繼續運作的燃料。在大財閥維克特（馬赫沙拉·阿里 Mahershala Ali 飾）所設立的機動球比賽中，最終獲得冠軍的人能夠獲得前往撒冷生活的資格，阿麗塔決定利用自己的格鬥天賦參加比賽，卻被捲入了一個巨大的陰...",美國 / 日本 / 加拿大,很顯然，卡神用時20年、耗資2億美金、組建上千人團隊、動用3萬多臺電腦，就只是為了向全世界安利自己熱愛的漫畫而已。,"一部很有教育意義的電影，它告訴我們：我們的確是父母從垃圾桶撿來的，不是充話費送的。 
繼約翰·威克後又一個“地表最強愛狗人士”，你敢殺她的狗，她就敢一刀把你劈成兩半。太能打了，讓你兩條腿都能戳爆你的眼睛。
葉問可以打十個鬼子，阿麗塔可以打十個葉問。 
“26世紀福斯”的片頭很有趣，不知道福斯能不能活到26世紀。 
電影探討的主題仍然是人工智慧自我意識覺醒，從開始不知道自己是誰，到擁有七情六慾，能睡覺、能流淚，再到發現自己並不低人一等，反而比人更好。不以物喜，不以己悲，勇敢接受自己，坦然面對生活。 
同時也是一個破繭成蝶、鳳凰涅槃的故事，歷經千錘百煉，遭受切膚之痛，苦其心志，勞其筋骨，方能百鍊成鋼、浴火重生。  
承受他人不能承受之痛苦，才能成為強者。
最後想問一下阿麗塔：2563年的時候《阿凡達2》上映了嗎？",難以想象到現在還有人在拍這樣平庸老套的故事，更難以想象的是，拍得竟然如此糟糕，大型災難現場：平到和紙片一樣薄的人物，尬到飛起的感情線，全面脫線的敘事節奏。真是白瞎了沃爾茨這樣的好演員。而且，吹上天的特效，經費都花到alita的動作捕捉上了吧？但從呈現效果來看，這和找個大眼睛女演員來演有啥區別？有必要嗎？動作捕捉之外的部分，完全沒有經費在燃燒的感覺啊。,【B-】一個高階玩家誤入新手村後狂虐菜雞的故事。視覺效果，動作設計都非常贊，作為爆米花合格了。但劇本和導演都不行，原作漫畫銃夢前幾卷的出彩之處，是其借天上地下，格鬥生存的設定，將階級固化用血肉搏殺的形式具象化了，電影卻強扭成尋找力量成長為最強王者的美式個人英雄主義。但阿麗塔就是個掛逼，她根本不需要成長，或者說她的成長應當建立在對自己身為狂戰士責任的醒悟，和對人類社會制會度的逐步看清之上，一旦失去這些，它就變成了一個極其普通無趣的俗套故事-——正像羅德里格茲現在所完成的那樣。某人的死在漫畫裡本是個極震撼的情節點，底層對上層的美好幻想被冰冷的權力毀滅，卻被拍成瓊瑤戲。阿麗塔不爛，但它本可以更好，比現在好很多的那種好。,熱血賽博格鬥 + 悽美人機戀情 = 美瞳天使阿麗塔。最後的揮刀斬淚真酷~卡神把關質量保證，就是這少女心的劇本有點背離漫畫版“銃夢”的精神啊...（anyway續集請走起）
驚天解密 ,動作、懸疑、驚悚,5.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2499413364.jpg,09/22/2017,"愛麗絲（勞米·拉佩斯 Noomi Rapace 飾）曾經是隸屬於中情局的高階審訊官，在一次反恐任務中，她的疏忽導致了數十名百姓無辜喪生，受不了良心譴責的愛麗絲選擇了辭職，並且徹底放下了過去，開始嘗試著去過普通人的生活。
                                    
                                　　可就在愛麗絲漸漸以往了曾經的日子時，中情局找到了她，邀請她再度出山協助破案。在破案的過程裡，愛麗絲漸漸發覺了其中的貓膩。種種線索都在表明，在中情局中隱藏著內鬼。就這樣，愛麗絲憑藉著一人之力開始了對於內鬼的調查，這也讓她身處險境之中。偌大的中情局裡，只有傑克（奧蘭多·布魯姆 Orlando Bloom 飾）在她最需要幫助的時候伸出了援手，可是愛麗絲卻並不相信這個神秘的男人。",捷克 / 瑞士 / 英國 / 美國 / 法國,沒有想象的那麼差，動作戲是一般了點，但多次反轉，劇情緊湊，雖有老梗，但都說的過去。有模仿《諜影重重》的嫌疑，換成了女性主角，但廢話不多，乾淨利落，這樣的懸疑動作片，可以給我多來點~,包場！勞米最後這一刀是龍紋身女孩角色代入吧,意思不大，女版伯恩的模式，照例是節奏緊湊+陰謀驚悚，動作戲份一般，看多了也就膩了。不過這片最有意思的地方在於幾個好人臉最後是壞人，壞人臉卻是正義人士。。。,虎頭蛇尾了，前期很有那個動作懸疑的架勢，後來氣就洩了，俗套了，也沒打鬥了。。。不過女主粉看著不虧,第一個轉折挺抓人的 越往後驚喜就越少了 不過能打是真的
狂暴巨獸 ,動作、科幻、冒險,6.3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2516079193.jpg,04/13/2018,"巨石強森飾演的靈長類動物學家一直與人類保持距離, 卻跟極為聰明的銀背大猩猩喬治有著深厚的感情。但是一次基因實驗出錯, 讓這隻溫馴的大猩猩變成狂怒難馴的龐然巨獸。更可怕的是, 其他動物也發生了同樣基因異變。他必須阻止這場全球性的災難, 更重要是要拯救他的好友喬治。",美國,姐姐是瘋子、弟弟是傻子，至於那個老牛仔，也許他真是正義聯盟的人……,不會輔助的坦克不是好射手    ——對面出裝太肉了打不動打不動,搞基因工程太賺了，兩個人就能開一個80層樓高的上市公司，完全沒別人。（其中一個還是廢物,姐弟倆究竟為了什麼要把三隻怪獸引到芝加哥？三隻怪獸費盡千辛萬苦，擋了那麼多子彈，打了那麼多飛機...結果姐弟倆啥也不做，就要逃跑？我看了一臉懵逼。好在最後的怪獸打架看得還算過癮，加1星。,1.應該叫《哥斯拉大戰金剛戰狼》。2.電影改編自我國古詩詞：會挽雕弓如滿月，西北望，射天狼。3.講述反派放《愛的供養》，怪獸跑去關掉它的故事。4.怪獸真可憐，好不容易長那麼大，結果遇到道恩·強森。下次好好投胎，別再遇見道恩·強森了。5.應該讓黑亞當和喪鐘打一架，可惜這屆喪鐘不行
終結者 ,動作、科幻、驚悚,8.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511430453.jpg,Jun-92,這是一個未來的世界，天下已經由機器人來操控。機器人想完全佔有這個世界，把人類趕盡殺絕，然而卻遇到了頑強抵抗的人類精英康納。於是，終結者機器人T-800（阿諾•施瓦辛格 Arnold Schwarzenegger飾）受命回到1984年，殺害康納母親莎拉（琳達•漢密爾頓 Linda Hamilton 飾），目的是滅掉康納的出生。 康納得知後，火速派戰士雷斯（邁克爾•比恩 Michael Biehn 飾）前往救援。雷斯來到1984年的洛杉磯，及時搭救了被機器人追殺的莎拉——她當時還是一個大學生。然而，人們把雷斯當成瘋子，不相信未來機器人統治世界。 直到莎拉又一次遭到機器人追擊，她才相信了這一切。奔走中她和雷斯相愛，懷上了未來的康納，而雷斯也陷入和機器人的苦鬥當中。人類世界能否從因為這場鬥爭改變原來的噩運？,美國 / 英國,"凱爾·里斯深愛著莎拉·康納，所以穿越到40年前，得到認識夢中情人的機會。
莎拉又告訴兒子，未來必須將一個叫凱爾·里斯的人傳送過來，否則就沒有你了。
互為因果，環環相扣。
這個創意在現在看來或許有點過時了，但在上世紀80年代，其驚豔程度是難以想象的。
後來許多電影都有對《終結者》的模仿和借鑑，但能達到它的高度的寥寥無幾。
雷斯無比崇拜約翰·康納，卻不知道他就是約翰·康納的父親。
莎拉覺得自己就是一個普通人，但命中註定她會成為一名偉大女性。
你遠遠比你想象中更加強大。",不要鄙視我，我現在才看。原來1984年的科技水平那麼粗糙，卻也那麼栩栩如生。,派老爸去邂逅老媽：老爸那句One possible future側面印證平行世界理論支援，不受限於外祖母悖論，終結者白忙一場就算幹掉目標也是開闢新的可能性未來，原先所在未來世界並不會改變。即便是單一宇宙，兒子的存在與父親回到過去有因果聯絡，所以影片更傾向於無法干涉歷史必然性，終結者反而成了搭橋媒婆,小時候 好害pia好害pia……他怎麼就不死呢！,果然是科幻經典。雖說當時的特技現在看起來很瞎，但是追車槍戰戲絲毫不弱。諾叔的鐵血機械人形象深入人心，還有就是女主也讓人驚喜，開始像是打醬油，後來則變成堅貞女戰士！
太陽召喚 第一季 ,劇情、動作、奇幻,7.3,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640627555.jpg,04/23/2021,《太陽召喚》根據利·巴杜戈全球暢銷的“格里莎世界”小說改編，故事背景設定在一個飽受戰爭蹂躪的世界裡，底層士兵、孤女阿麗娜·斯達科夫突然施展出一種非凡的力量，這可能是讓她的國家重獲自由的關鍵。隨著暗影黑幕巨大威脅的迫近，阿麗娜被迫遠離她所熟知的一切，並受訓成為格里莎魔法精英軍隊的一員。但就在她努力磨練自己的力量時，她發現盟友和敵人可以是同一個人，而在這個繁華的世界裡，一切都暗藏玄機。危險的力量正在崛起，其中包括一群魅力超凡的罪犯，要想生存下去，光靠魔法是不夠的。《太陽召喚》是由 21 Laps Entertainment 出品的 Netflix 劇集，主演陣容包括潔西·梅·李（阿麗娜·斯達科夫）、阿奇·雷諾（瑪裡安·奧勒瑟夫）、弗萊迪·卡特（卡茲·布瑞克）、阿米塔·休曼（伊奈什）、基特·揚（傑斯帕·費伊）和本·巴恩斯（奇利甘將軍）。,美國,我覺得編劇可能不瞭解青梅竹馬的愛情，Alina和Mal的CP感之所以不強，是因為青梅竹馬如果有情愫，十二三歲就會萌芽，二十多歲還沒滾床單的那都是親兄妹了，所以看他倆曖昧的戲份非常的彆扭。。。。。第二季請給總裁和Nina組加戲謝謝！,我不管，這部劇最好看的部分是尼娜和她的男人！！！,《勵志！中俄混血姑娘幫助俄羅斯小夥翻越烏拉爾山脈成功偷渡到歐洲！》 (PS: 書翰是什麼鬼，不應該翻譯成蜀漢嗎),拜託 都什麼年代了誰還要看青梅竹馬？女主和暗主趕緊給我搞起來好嗎？！,編劇能不能改個劇本？下一季能不能把Mal寫死然後未來darkling不要死？
英倫對決 ,動作、犯罪,7,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2499135561.jpg,09/30/2017,"關玉明（成龍 飾）和女兒小凡（梁佩詩 飾）在英國倫敦過著相依為命的日子。關玉明經營著一間小小的餐館，老老實實的靠著辛勤勞作養活家庭，從未有過想要僭越法律或是道德的念頭。然而，上天並不眷顧這個善良的男人，在一場恐怖襲擊中，小凡不幸成為了受害者之一。
                                    
                                　　讓關玉明無法接受的除了女兒的死之外，還有英國政府對此次事件的輕視和不作為。政府高官萊姆（皮爾斯·布魯斯南 Pierce Brosnan 飾）出現在了關玉明的視野之中，他堅信萊姆和恐怖組織以及事件的真相有著不可分割的聯絡。既然法律和正義無法還關玉明一個公道，關玉明決定用自己的力量來為女兒復仇。",英國 / 中國大陸 / 美國,譯名毀了片子系列。一個失去祖國的北愛爾蘭人和一個始終被所有人稱為中國佬的英國人，這不是為女兒復仇的《英倫對決》的故事，而是兩個迷失國籍與身份的《異邦人》的故事。,其實除了關玉明，被侄子睡了老婆、找的情人還是眼線，而且時時刻刻在背鍋的007也深深值得大家同情，不是嗎？,上訪大爺怒懟愛爾蘭政客，手撕恐怖分子，腐國坐收漁利的故事，不一樣的成龍，也是近幾年最好的成龍。馬丁坎貝爾對電影節奏和情緒鋪陳駕馭不錯，簡單的劇情完成度很高，黑暗邊緣+特工爺爺+非法制裁，成龍刻意作出的老態脫俗無傷，唯有打鬥還能看到昔日大哥的影子。成龍還能打，只不過換了風格,成龍流水線裡還比較精彩的一部，馬丁·坎貝爾的排程還不錯，63歲的成龍作品還能有這樣的完成度，真的是努力的前輩。,超出預期的硬四星半！扣半星送給莫名其妙扮老的亞洲女性，有點風情好嗎拜託🙏
守望先鋒：滲透 ,動作、動畫、短片,8.4,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2417860746.jpg,11/04/2016,"When a Talon operation doesn't go exactly as planned, Sombra steps out of the shadows and takes control.",美國,我發現國際的政治正確中的確包含了日常黑毛子，因為毛子太強硬了，像大山一樣強壯，直得不行。,黑百合+死神，ow裡的火箭隊,喜歡最後的轉身,http://m.acfun.cn/v/?ac=3231952&part=5,為了引出角色，比較水的一部。
碟中諜 ,動作、驚悚、冒險,8.3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1660124103.jpg,05/22/1996,"中情局獲得情報，得知他們的特工中出了一個叛徒，準備將中情局佈置在東歐的特工名單出賣給外國特工組織。在特工頭目吉姆（喬恩•沃伊特 Jon Voight 飾）的策劃下，伊森（湯姆•克魯斯 Tom Cruise 飾）所住的一組特工趕往了他們交易的地點。
                                    
                                　　豈料，當他們按計劃趕到 時，卻中了埋伏，一組人中除了伊森和吉姆的妻子克萊爾，其他隊員都被殺害。這時，伊森的賬戶無端端多出了12萬美金。伊森成了內鬼的最大的嫌疑犯。
                                    
                                　　無奈之下，伊森只能憑個人之力獨闖龍潭虎穴去找出出賣他們的內奸。他和外國間諜組織的接頭人麥克斯取得聯絡後，答應幫麥克斯偷出中情局的間諜名單以交換中情局內鬼的名字。",美國,音樂經典啊，第49分鐘讓雷諾出現了。,哇，原來那時候的阿湯哥那麼傻的,看的時候，我一直想著，這電影好怪啊，演員的打扮、配樂、節奏、表演，都是四、五時年代好萊塢的感覺，如一開始的審訊場面，克魯斯一群中計的戲（哪有這麼失敗的特工？）、結尾時列車員誇張的暈倒鏡頭······剛上網一查，原來是帕爾瑪導演的，這才知道難怪如此······現在的好萊塢都是粗暴直露，但細節上極端追求寫實，不會讓觀眾剛到是看電影，而這部影片顯然有太多毛邊，你說不出來究竟不對在哪裡，但有種味道在那·······帕爾瑪繼承經典傳統還真是形神兼備，不過現代觀眾的口味不太能全然接受了吧？他的影片傳達了上個時代的遺響,7.3/10 中規中矩的，細節處理也不盡善盡美，不過Tom Cruise不愧是我小時候的性幻想物件呀！,女主角的設定絕了，特工+上司的女人+老頭的嬌妻+新喪的寡婦+反派，還有什麼能比這更性感！！
末日崩塌2 ,動作、冒險、災難,7.5,https://img2.doubanio.com/cuphead/movie-static/pics/movie_default_large.png,2025,巨石強森去年單抗票房大爆力作《末日崩塌》將拍續集，Neil Widener和Gavin James擔心新編劇，其他主創基本全部迴歸，依然是強森主演。至於人美波大的女兒Alexandra Daddario也有望迴歸，具體細節仍未公佈。,美國,放過地球吧,續集應該叫《比毛利小五郎還喪的一家人：走到哪哪就死一片》,美國又要遭遇大危機了。巨石的片子，基本上都是救家人，其他人靜靜GoDie。,災難片還有第二部？再崩塌一次？,這片怎麼拍續集？
人類清除計劃 ,科幻、驚悚、犯罪,6,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2239278955.jpg,05/02/2013,"近未來的美國，全國失業率僅為1%，犯罪率則創下史上最低紀錄，暴力幾乎消失無蹤。美利堅合眾國彷彿進入宛如天堂的美好黃金時代，而促成這完美表象的則是前所未聞的大掃蕩計劃。國家為了有效釋放公民心底的壓抑和不滿情緒，特別規定每年有一天的晚上7點之後舉行長達十二小時的全國性大掃蕩，屆時人們將走上街頭，展開完全不用承擔法律責任的毆鬥與殺戮。在這個畸形的時代，安保系統推銷員詹姆斯·桑丁（伊森·霍克 Ethan Hawke 配音）大發其財，與妻子兒女過著養尊處優的幸福生活。
                                    
                                　　又是一年大掃蕩之夜到來，桑丁一家端坐固若金湯的豪華府邸，在螢幕前觀賞殺戮之夜的表演。誰知這一晚，詹姆斯的兒子查理出手拯救了一名被追殺的流浪漢，桑丁一家不可避免被捲入血腥的漩渦之中……",美國 / 法國,不出所料，好題材餵豬了,再一次狠抽偽善一耳光，然後掐死全世界的熊孩子,作為一部投資僅300萬美元的驚悚片，它已經帶給我足夠多的驚喜了，一些邏輯上的漏洞並不能掩蓋這個創意的光芒，它用一個陳舊的暴力闖入者的情節套路構架了一個人性困局和社會寓言。,再好的安保系統也防不住兩個倒黴孩子,好設定，高概念，最難得男主角一捅就死，可惜被執行拖低了水準，從開始的實況錄影到滿屋子追殺，沒有一個鏡頭能叫人打起精神。導演顯然關注道德多於衝突場面。下面一邊倒批評”熊孩子“的言論真叫奇葩，豆瓣上的價值觀都扭曲成這樣了？男孩救人是對的！
007之擇日而亡 ,動作、驚悚、冒險,7.3,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p940106094.jpg,11/22/2002,特工英雄007詹姆斯•邦德（皮爾斯•布魯斯南 Pierce Brosnan 飾）這次在北朝鮮發現了一位世界級的媒體大亨——蓋斯特維的陰謀詭計。蓋斯特維妄圖研製一枚類似於第二顆太陽那樣的衛星來挑起全球戰爭，進而達到他控制地球的企圖。007當然不會允許蓋斯特維的陰謀得逞，於是在北朝鮮展開了調查。經過調查，007發現蓋斯特維的真實身份，那是經過整容後改頭換面的原北朝鮮領導人Zao。現在，007必須抓緊時間找到Zao，制止他的陰謀以阻止戰爭的全面爆發。007真的能成功嗎？,英國 / 美國,7.0/10 分。007-20-2002。2018.08.13，重看，50週年紀念版藍光。皮爾斯·布魯斯南的第四部007，也是最後一部。最帥的007辭演了。007被逮捕了，還被折磨了，這是為他的離去唱的最後一首哀歌嗎。。。哈莉·貝瑞，有料的黑美人，大戰有料的白美人，裴淳華。下一部是四年後，2006年了，換人了，丹尼爾·克雷格。,英美合璧，珠聯璧合，007永遠都不孤單；簡直就是不死之身啊，007；自認為是看過的007系列最好的一部：場面宏觀，麥當娜主題曲聽著很來電，有柔有硬！,這個真的是『補標』，我看過多次，不知道為什麼忘了補標，也好藉機重新再看一遍DVD雙碟收藏。我還是喜歡布魯斯南版007，也是中國觀眾用VCD / DVD影碟觀影方式無差別與世界『同步』觀看娛樂大片的時代，007系列電影由於意識形態方面，一直以來雖然風靡世界，但是我們一直沒有公映，主要觀看渠道就是錄影帶📼VCD，DVD影碟等那個時代『大片』很少，007系列成了幾年一次的觀影盛宴，也是電影科技的頂級應用，讓我們一度百看不厭。(其實這次是為了再看一遍裴淳華之前沒有印象她出演過邦女郎電影),看看電影裡朝鮮領導人的英俊模樣，再看看現實世界，就知道電影都是意淫出來的。真正真實美麗的，只有冰湖一年四季的震撼哦！哦哈哈哈哈我這個廣告做的太拙劣了。冰島取景蠻不賴的，不過那時候視效做的還是不行，冰山區海嘯部分衝浪滑翔想法不賴，效果太明顯的假了。。給五星也很假。。四吧,某個民族是比較愛整容啦，哈哈
道士下山 ,喜劇、動作、奇幻、古裝,5.5,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2251450614.jpg,07/03/2015,"動盪的時代下，武功高強的道士何安下（王寶強 飾）被師父（李雪健 飾）送下山自謀生路。不諳世事的他來到大千世界，因搶了荷葉雞而拜入醫生崔道寧（範偉 飾）的門下。老闆娘玉珍（林志玲 飾）如花似玉，同時周旋在丈夫和叔叔道融（吳建豪 飾）之間，由此釀成一場悲劇。此後何安下獨自經營藥房，卻無意中捲入江湖恩怨之中。他被隱姓埋名的掃地道士周西寧（郭富城 飾）高強的武功所折服，自願拜其為師。與此同時，周的師弟彭乾吾（元華 飾）殺氣騰騰找上門來。而曾與週一同練功的查老闆（張震 飾）更將風波推向了高潮。上山，下山，何安下在短短的時間內悟出了許多真理……
                                    
                                　　本片根據徐皓峰的原作改編。",中國大陸 / 美國,這是一個曾經拍出過《黃土地》、《孩子王》和《霸王別姬》的導演……（陳凱歌導演一直是我尊敬的導演，我不會因為一部我不喜歡的電影就失去對他的尊敬。）,能和範偉老師拍床戲是林志玲幾輩子修來的福氣。,影片教育了廣大女性，直男都是範偉和王寶強這樣的，要是你碰到了張震和郭富城，那他們全是彎的。,張震就差一句我是你師孃了。,猜中了開頭，卻沒有猜到結尾。我怎麼也沒有想到，《道士下山》竟然是一部攪基片。
絕地戰警 ,喜劇、動作、犯罪,7.5,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p686546035.jpg,Dec-95,"邁阿密警局的一對“黃金”搭檔，顧家愛妻的好男人賓納（馬丁•勞倫斯）和衣著光鮮風流倜儻的富家子弟勞瑞（威爾•史密斯），奉命追查一樁價值上億美元的毒品證物失竊案，如果不能及時完成任務，他倆就得捲鋪蓋走人。
                                    
                                　　在兩人疲於奔命之際，該案件唯一的性感女證人打電話到警局聲稱她願意指認主謀，但條件是勞瑞必須出面保護她，否則一切免談，此時勞瑞剛好不在警局，賓納為套取線索，急中生智冒名頂替。其後，為了不失去女證人的信任，兩人只得將對調身份一事進行到底，賓納在槍林彈雨及汽車追逐中貼身保護女證人，勞瑞則來到他家中陪伴其妻。",美國,廢話太尼瑪多了，忍著劇痛看完威爾史密斯難得的爛片,95年拍出這樣的電影，即使放在今天也不會擔心票房問題！！,"1995，導演：邁克爾貝（美），30歲。

《絕地戰警》(Bad Boys)是邁克爾貝的第一部電影作品，影片借用《致命武器》的兩個警察搭檔模式，把搞笑和動作加以融和。劇情缺乏深度，但充滿動感，場景和人物拍攝都比較精緻，常常有廣角的鏡頭，預示著邁克爾·貝的發展路線。這部由威爾·史密斯和馬丁·勞倫斯",嚴格來講這並不像一部邁克爾貝的電影，因為它沒有大把燒錢，只有結尾才看到了HLL升騰的火球，原因當然是他們真的沒錢。當貝爺攥著緊巴巴的2300萬預算找到布魯克海默和黑人哥兒倆的時候，大概他們誰也沒想到自己如今會紅成這個樣子。於是不能拿錢砸的地方，完全就靠兩位主演的搞笑功夫了，好在這很管用,此片過後，威爾史密斯1線了，馬丁勞倫斯火了，就連蒂婭里歐妮也出名了
